UV index;sun days;sun hours;Rh;MXT;MNT;prectot;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;UV index;sun days;sun hours;Rh;MXT;MNT;PREECTOT;Rasio;Tingkat_mutasi
4;10;123.5;81.39;8.43;0.67;3.67;3;16;171;76.93;14.53;4.48;3.83;3;17;202;77.61;18.25;7.94;3.63;6;19;252.5;69.2;22.57;11.06;1.89;8;13;240.5;73.53;28.33;18.31;5.38;8;5;142;81.22;31.1;23.82;16.04;0;0
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0;0
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.00053;2
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.00053;2
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
3;24;267;73.81;13.48;8.51;0.38;4;22;234;75.86;14.63;9.37;0.55;3;11;217;73.84;14.62;9.41;2.33;5;23;251.5;74.38;17.65;11.62;1.63;5;13;247;71.25;22;15.97;0.92;7;13;253;69.74;24.11;18.58;2.01;0.000265;1
6;22;272;76;22.49;17.15;1.12;7;24;260;73.53;23.2;17.11;0.26;5;25;296.5;75.43;21.57;16.07;0.18;6;23;246;73.2;20.4;15.19;1.26;6;18;227.5;77.06;19.32;14.48;1.6;5;15;203.5;77.69;17.73;13.45;3.54;0.00053;2
6;22;272;76;22.49;17.15;1.12;7;24;260;73.53;23.2;17.11;0.26;5;25;296.5;75.43;21.57;16.07;0.18;6;23;246;73.2;20.4;15.19;1.26;6;18;227.5;77.06;19.32;14.48;1.6;5;15;203.5;77.69;17.73;13.45;3.54;0.000265;1
6;22;272;76;22.49;17.15;1.12;7;24;260;73.53;23.2;17.11;0.26;5;25;296.5;75.43;21.57;16.07;0.18;6;23;246;73.2;20.4;15.19;1.26;6;18;227.5;77.06;19.32;14.48;1.6;5;15;203.5;77.69;17.73;13.45;3.54;0.000265;1
